canonical	relation_count	reason
d 1870 _cf_ mirbt n 509	49	sentence fragment
a theory of cognitive dissonance	48	sentence fragment
a feature-integration theory of attention	48	sentence fragment
a three-component conceptualization of organizational commitment	48	sentence fragment
a cognitive approach to language learning	48	sentence fragment
a modified particle swarm optimizer	48	sentence fragment
a global double‐fluorescent cre reporter mouse	48	sentence fragment
a soil-adjusted vegetation index (savi)	48	sentence fragment
t poo-poo and the red queen	43	sentence fragment
s phase entry and meiotic gene activation	41	sentence fragment
g 1/07	34	sentence fragment
a 12-item short-form health survey	32	sentence fragment
a default mode of brain function	32	sentence fragment
a handbook of child psychology	32	sentence fragment
a diagnostic interview	32	sentence fragment
a theory of cortical responses	32	sentence fragment
a framework for representing knowledge	32	sentence fragment
a children's global assessment scale (cgas)	32	sentence fragment
a cognitive theory of consciousness	32	sentence fragment
a proposed mechanism of emotion	32	sentence fragment
a theory of cerebellar cortex	32	sentence fragment
g proteins: transducers of receptor-generated signals	32	sentence fragment
a toll-like receptor recognizes bacterial dna	32	sentence fragment
a genomic perspective on protein families	32	sentence fragment
a literature review of poly(lactic acid)	32	sentence fragment
a census of human cancer genes	32	sentence fragment
a sentimental education	32	sentence fragment
a theory of biological pattern formation	32	sentence fragment
a simplex method for function minimization	32	sentence fragment
a tutorial on support vector regression	32	sentence fragment
a stochastic approximation method	32	sentence fragment
a cluster separation measure	32	sentence fragment
a performance evaluation of local descriptors	32	sentence fragment
a natural-resource-based view of the firm	32	sentence fragment
a new metaheuristic bat-inspired algorithm	32	sentence fragment
a trophic state index for lakes1	32	sentence fragment
a modified soil adjusted vegetation index	32	sentence fragment
a real-time qrs detection algorithm	32	sentence fragment
a course of modern analysis	32	sentence fragment
a priori estimate	29	sentence fragment
a theory of social comparison processes	28	sentence fragment
a quantitative approach to content validity<sup>1</sup>	28	sentence fragment
a genetic model for colorectal tumorigenesis	28	sentence fragment
a safe operating space for humanity	28	sentence fragment
a survey on sensor networks	28	sentence fragment
a mathematical theory of communication	28	sentence fragment
a power primer.	24	sentence fragment
a spreading-activation theory of semantic processing.	24	sentence fragment
a social psychologist discovers chicago sociology	24	sentence fragment
a theory of memory retrieval.	24	sentence fragment
a meta-analysis of cronbach's coefficient alpha	24	sentence fragment
a catalogue of splice junction sequences	24	sentence fragment
a mathematical theory of evidence	20	sentence fragment
a rating instrument for anxiety disorders	20	sentence fragment
j antimicrob chemother 1994; 33: 350–351	20	sentence fragment
3 the spiritual essence of blood	16	sentence fragment
a global measure of perceived stress	16	sentence fragment
a theory of human motivation	16	sentence fragment
a self-rating depression scale	16	sentence fragment
a treatise on the family	16	sentence fragment
a cognitive process theory of writing	16	sentence fragment
a personality scale of manifest anxiety.	16	sentence fragment
a network theory of mental disorders	16	sentence fragment
a classification of illocutionary acts	16	sentence fragment
