malformed	clean_target	relation_count	target_exists
h company	h company	48	True
j integral	j integral	48	True
ufo'	ufo	47	True
g beta-gamma complex	g beta-gamma complex	47	True
f region	f region	46	True
_ goodness	goodness	45	True
c band	c band	45	True
fag'	fag	44	True
c difficile	c difficile	43	True
l tibetanus the ear	l tibetanus the ear	42	True
y therefore and similarly y	y therefore and similarly y	41	True
william 	william	40	True
b chromosome	b chromosome	40	True
developing effective disease management 	developing effective disease management	39	False
t shirt	t shirt	39	True
j chain	j chain	38	True
t cell exhaustion	t cell exhaustion	37	True
y chromosome microdeletion	y chromosome microdeletion	37	True
_ much is achieved merely	much is achieved merely	36	False
6 mortal existence	6 mortal existence	35	True
you'	you	35	True
x ray	x ray	35	True
3 not real	3 not real	34	True
t lymphocyte	t lymphocyte	34	True
des''	des	33	True
c number	c number	33	True
method of diluting or 'potentizing'	method of diluting or 'potentizing	32	False
b c and d	b c and d	31	True
p and l	p and l	30	True
pro'	pro	29	True
benjamin 	benjamin	29	True
james 	james	28	True
b meson	b meson	27	True
μ operator	μ operator	26	True
jacob 	jacob	25	True
c parity	c parity	25	True
c sharp (programming language)	c sharp (programming language)	24	True
r programming language	r programming language	24	True
x ray radiation	x ray radiation	24	True
s phase	s phase	22	True
2 the longitude problem	2 the longitude problem	21	True
d (programming language)	d (programming language)	21	True
t wave alternans	t wave alternans	21	True
- argentina	argentina	19	True
s disease	s disease	19	True
t wave	t wave	19	True
j wave	j wave	19	True
2 unlimited	2 unlimited	18	True
v (programming language)	v (programming language)	18	True
u turn	u turn	18	True
n cadherin	n cadherin	18	True
g factor	g factor	18	True
3 life	3 life	17	True
n word	n word	17	True
p adic norm	p adic norm	17	True
s process	s process	17	True
β amyloid	β amyloid	17	True
m squared	m squared	17	True
1 nothing	1 nothing	16	True
1 know these ideal	1 know these ideal	16	True
b until both lin	b until both lin	16	True
v mail	v mail	16	True
v sign	v sign	16	True
j neuropsychiatry clin neurosci	j neuropsychiatry clin neurosci	16	True
b lymphocytes secrete antigen-presenting vesicles.	b lymphocytes secrete antigen-presenting vesicles.	16	True
l band	l band	16	True
d alembert's paradox	d alembert's paradox	15	True
f wave	f wave	15	True
1 and body	1 and body	14	True
1 called mind	1 called mind	14	True
i ching	i ching	14	True
p adic absolute value	p adic absolute value	14	True
r r	r r	14	True
p wave	p wave	14	True
t tubule	t tubule	14	True
b word	b word	14	True
k line	k line	14	True
m ratio	m ratio	14	True
x ray diffraction	x ray diffraction	14	True
2 methyl 1,3,5 trinitrobenzene	2 methyl 1,3,5 trinitrobenzene	14	True
sporothrix genus with 	sporothrix genus with	13	False
j (programming language)	j (programming language)	13	True
k (programming language)	k (programming language)	13	True
e mail	e mail	13	True
f word	f word	13	True
r rated	r rated	13	True
m theory	m theory	13	True
q carbon	q carbon	13	True
g string	g string	13	True
p 2 orbit	p 2 orbit	13	True
q analog	q analog	13	True
t word	t word	13	True
μ oxido dihydrogen	μ oxido dihydrogen	13	True
s train	s train	13	True
t symmetry	t symmetry	13	True
islands of vancouver'	islands of vancouver	12	False
meanwhile 'london particular'	meanwhile 'london particular	12	False
brahminee religion and your lordship'	brahminee religion and your lordship	12	False
point of the 'wheeze'	point of the 'wheeze	12	False
8 ball	8 ball	12	True
k pop	k pop	12	True
n butane	n butane	12	True
w shingling	w shingling	12	True
d day	d day	12	True
e meter	e meter	12	True
1 chronicles	1 chronicles	12	True
2 chronicles	2 chronicles	12	True
f stop	f stop	12	True
t bar	t bar	12	True
v shaped	v shaped	12	True
3 here	3 here	11	True
o comfort the good alone	o comfort the good alone	11	True
tye'	tye	11	True
c note	c note	11	True
b girl	b girl	11	True
e (programming language)	e (programming language)	11	True
i love you	i love you	11	True
e mail address	e mail address	11	True
e skin	e skin	11	True
y all	y all	11	True
g man	g man	11	True
g loc	g loc	11	True
4 2 4	4 2 4	11	True
4 4	4 4	11	True
b testing	b testing	11	True
i beam	i beam	11	True
m 16	m 16	11	True
t top	t top	11	True
x boson	x boson	11	True
σ algebra	σ algebra	11	True
b mode	b mode	11	True
x inactivation	x inactivation	11	True
southern point of 'egypt'	southern point of 'egypt	10	False
counterpoise 	counterpoise	10	True
o piso my opinion	o piso my opinion	10	True
reverend 	reverend	10	True
o un-nefer word	o un-nefer word	10	True
s leading	s leading	10	True
e residency	e residency	10	True
f hole	f hole	10	True
n bomb	n bomb	10	True
p word	p word	10	True
t square	t square	10	True
c command	c command	10	True
q ship	q ship	10	True
t charge	t charge	10	True
1 kings	1 kings	10	True
2 2	2 2	10	True
2 kings	2 kings	10	True
d sub	d sub	10	True
f number	f number	10	True
k ration	k ration	10	True
n type	n type	10	True
s wave	s wave	10	True
x ray crystallography	x ray crystallography	10	True
x bar	x bar	10	True
x ray spectrometer	x ray spectrometer	10	True
j pop	j pop	10	True
o father full of wisdom	o father full of wisdom	9	True
c major	c major	9	True
e book	e book	9	True
b pillar	b pillar	9	True
c clef	c clef	9	True
c pop	c pop	9	True
d c	d c	9	True
e form	e form	9	True
e recruitment	e recruitment	9	True
e science	e science	9	True
e thumb	e thumb	9	True
e toll	e toll	9	True
t norm	t norm	9	True
x linked gene	x linked gene	9	True
x linked trait	x linked trait	9	True
h index	h index	9	True
l number	l number	9	True
q value	q value	9	True
1 corinthians	1 corinthians	9	True
1 samuel	1 samuel	9	True
1 thessalonians	1 thessalonians	9	True
2 4	2 4	9	True
2 corinthians	2 corinthians	9	True
2 samuel	2 samuel	9	True
2 thessalonians	2 thessalonians	9	True
3 4	3 4	9	True
4 4 2	4 4 2	9	True
6 8	6 8	9	True
9 8 suspension	9 8 suspension	9	True
b roll	b roll	9	True
c pillar	c pillar	9	True
c word	c word	9	True
d pillar	d pillar	9	True
i formation	i formation	9	True
i mutation	i mutation	9	True
j psi particle	j psi particle	9	True
k d tree	k d tree	9	True
p adic number	p adic number	9	True
p p	p p	9	True
r process	r process	9	True
s p	s p	9	True
z transform	z transform	9	True
δ box	δ box	9	True
λ 4 film	λ 4 film	9	True
1 propanol	1 propanol	9	True
o clip	o clip	9	True
o mikuji	o mikuji	9	True
g banding	g banding	9	True
our'	our	8	True
maud 	maud	8	True
p value	p value	8	True
e ticket	e ticket	8	True
3 kings	3 kings	8	True
4 kings	4 kings	8	True
e zine	e zine	8	True
n speed automatic	n speed automatic	8	True
t form	t form	8	True
x ray machine	x ray machine	8	True
0 100	0 100	8	True
0 60 0	0 60 0	8	True
8 bit	8 bit	8	True
8 cell	8 cell	8	True
c hole	c hole	8	True
d hole	d hole	8	True
e cash	e cash	8	True
e discovery	e discovery	8	True
e folding	e folding	8	True
e tailing	e tailing	8	True
e therapy	e therapy	8	True
e voting	e voting	8	True
p plate	p plate	8	True
q ball	q ball	8	True
q tip	q tip	8	True
s hole	s hole	8	True
ℝ order tree	ℝ order tree	8	True
d pad	d pad	8	True
e day	e day	8	True
i spy	i spy	8	True
i wiss	i wiss	8	True
z axis	z axis	8	True
1 800	1 800	8	True
1 timothy	1 timothy	8	True
2 peter	2 peter	8	True
2 timothy	2 timothy	8	True
3 1 1	3 1 1	8	True
3 john	3 john	8	True
5 cap	5 cap	8	True
7 6 suspension	7 6 suspension	8	True
b unit	b unit	8	True
c spine	c spine	8	True
f distribution	f distribution	8	True
h ii region	h ii region	8	True
k cell	k cell	8	True
l cut	l cut	8	True
p adic ultrametric	p adic ultrametric	8	True
p code	p code	8	True
p n junction	p n junction	8	True
r k selection theory	r k selection theory	8	True
r word	r word	8	True
s plane	s plane	8	True
v 2	v 2	8	True
y axis	y axis	8	True
m phase	m phase	8	True
t junction	t junction	8	True
2 8 8 4	2 8 8 4	8	True
5 2 diet	5 2 diet	8	True
o odham	o odham	8	True
b scan	b scan	8	True
b side	b side	8	True
v 1	v 1	8	True
g kg	g kg	8	True
n one	n one	7	True
o my friend how prophetic	o my friend how prophetic	7	True
4 and the two intermediat	4 and the two intermediat	7	True
s law	s law	7	True
k correction	k correction	7	True
x hyperactivation	x hyperactivation	7	True
s (programming language)	s (programming language)	7	True
n pole	n pole	7	True
s pole	s pole	7	True
e language	e language	7	True
k s	k s	7	True
l word	l word	7	True
5 cell	5 cell	7	True
b boy	b boy	7	True
c value	c value	7	True
e banking	e banking	7	True
e commerce	e commerce	7	True
e dating	e dating	7	True
e list	e list	7	True
e procurement	e procurement	7	True
e signature	e signature	7	True
e sports	e sports	7	True
e tailer	e tailer	7	True
e ticketing	e ticketing	7	True
e tool	e tool	7	True
e volution	e volution	7	True
r and r	r and r	7	True
t bone	t bone	7	True
t othersider	t othersider	7	True
u haul lesbian	u haul lesbian	7	True
y all's	y all's	7	True
y jack	y jack	7	True
z drug	z drug	7	True
1 john	1 john	7	True
1 methyl 4 phenylpyridinium	1 methyl 4 phenylpyridinium	7	True
1 peter	1 peter	7	True
2 john	2 john	7	True
3 end	3 end	7	True
4 foot	4 foot	7	True
5 end	5 end	7	True
c reactive protein	c reactive protein	7	True
c terminus	c terminus	7	True
e number	e number	7	True
g word	g word	7	True
i feel you	i feel you	7	True
j adoube	j adoube	7	True
j term	j term	7	True
k theory	k theory	7	True
l clearance	l clearance	7	True
n terminus	n terminus	7	True
p adic ordinal	p adic ordinal	7	True
q car	q car	7	True
r expression	r expression	7	True
s l	s l	7	True
s word	s word	7	True
t carrier	t carrier	7	True
t formation	t formation	7	True
t hooft operator	t hooft operator	7	True
t maze	t maze	7	True
w word	w word	7	True
x axis	x axis	7	True
x intercept	x intercept	7	True
z fighting	z fighting	7	True
μ completion	μ completion	7	True
σ finite measure	σ finite measure	7	True
4 8 0	4 8 0	7	True
n linked glycosylation	n linked glycosylation	7	True
x day	x day	7	True
1 maccabees	1 maccabees	7	True
2 10 10 2	2 10 10 2	7	True
2 4 4 2	2 4 4 2	7	True
2 6 6 2	2 6 6 2	7	True
2 6 6 4	2 6 6 4	7	True
2 6 6 6	2 6 6 6	7	True
2 8 4	2 8 4	7	True
2 8 8 2	2 8 8 2	7	True
2 maccabees	2 maccabees	7	True
4 4 6 4	4 4 6 4	7	True
4 6 4 4	4 6 4 4	7	True
4 6 6 2	4 6 6 2	7	True
4 6 6 4	4 6 6 4	7	True
4 8 8 2	4 8 8 2	7	True
4 8 8 4	4 8 8 4	7	True
6 4 4 6	6 4 4 6	7	True
h bomb	h bomb	7	True
e prime	e prime	7	True
i hawk	i hawk	7	True
k value	k value	7	True
q switching	q switching	7	True
y fenni	y fenni	7	True
y splitter	y splitter	7	True
c dynamic memory allocation	c dynamic memory allocation	7	True
l carinifera_	l carinifera_	6	True
essentially 	essentially	6	True
markedly 	markedly	6	False
1 man jesus wa	1 man jesus wa	6	True
3 real man	3 real man	6	True
1 myth for man	1 myth for man	6	True
s trap	s trap	6	True
minds of franklin'	minds of franklin	6	False
close to 	close to	6	False
b lymphocyte	b lymphocyte	6	True
i am	i am	6	True
4 4 4	4 4 4	6	True
b (programming language)	b (programming language)	6	True
v form	v form	6	True
x mark	x mark	6	True
0 60	0 60	6	True
1 up	1 up	6	True
4 fluoramphetamine	4 fluoramphetamine	6	True
f bomb	f bomb	6	True
e access	e access	6	True
e auction	e auction	6	True
e basket	e basket	6	True
e bulletin	e bulletin	6	True
e course	e course	6	True
e democracy	e democracy	6	True
e diary	e diary	6	True
e election	e election	6	True
e fencing	e fencing	6	True
e finance	e finance	6	True
e gate	e gate	6	True
e hub	e hub	6	True
e inclusion	e inclusion	6	True
e invitation	e invitation	6	True
e kiosk	e kiosk	6	True
e leader	e leader	6	True
e library	e library	6	True
e marketplace	e marketplace	6	True
e marking	e marking	6	True
e mentor	e mentor	6	True
e periodical	e periodical	6	True
e petition	e petition	6	True
e publish	e publish	6	True
e publisher	e publisher	6	True
e statement	e statement	6	True
e strategy	e strategy	6	True
e tag	e tag	6	True
e tender	e tender	6	True
e text	e text	6	True
e textile	e textile	6	True
e tray	e tray	6	True
e version	e version	6	True
e wallet	e wallet	6	True
f clef	f clef	6	True
f o	f o	6	True
g clef	g clef	6	True
